request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,500,500,0,128000,23791.125182900232,500,5365.0939503517,5316.862070932984,5380.157475359738,5365.135228028521,5374.683020217344,5377.360351243988,500,5364.962437210605,5316.693840082735,5380.016861017793,5365.005559520796,5374.553264863789,5377.229796443135
5,500,500,0,128000,22272.071402408867,500,5717.638820449822,5385.893513914198,5747.108011972159,5729.154979111627,5741.0222318721935,5743.389004743658,500,5717.50665014796,5385.760952718556,5746.975409798324,5729.023191146553,5740.890409168787,5743.258038759232
10,500,500,0,127993,20964.439248968247,500,6054.423142517917,5610.756132751703,6105.243192054331,6081.555963261053,6095.926269725896,6100.843706522137,500,6054.290200514719,5610.616378020495,6105.111098848283,6081.408744445071,6095.793451624922,6100.710390931927
20,500,500,0,127974,20515.879308548825,500,6095.622134444304,5493.776750285178,6237.802342046052,6116.921458858997,6121.03959703818,6124.472850421444,500,6095.4819334335625,5493.648013100028,6237.6701342873275,6116.788279497996,6120.891924481839,6124.285270962864
50,500,500,0,128000,19237.032483214694,500,6187.318881235085,5970.5895823426545,6653.832918964326,6168.028689455241,6382.491121487692,6601.502719908021,500,6185.930558255874,5970.441413111985,6647.400938905776,6166.2553085479885,6377.97369658947,6598.636319329962
