request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,10000,10000,0,2560000,2186516.7491588164,10000,846.8403703559015,844.5583580178209,1170.8119779941626,846.2155029992573,851.5156752953772,852.9613743827213,10000,846.7143645372532,844.4402220193297,1170.6660620402545,846.089424478123,851.3897149503464,852.82665733248
5,10000,10000,0,2560000,2497259.615945438,10000,876.8268947606791,857.864800025709,1025.123693048954,876.4505535073113,881.4704488933785,882.8257664927514,10000,876.6944575446192,857.7310279943049,1025.0151590444148,876.3178949884605,881.3390457391506,882.6839267078321
10,10000,10000,0,2560000,2343636.832665519,10000,907.587423285551,866.731992980931,1092.3194090137258,906.8768745055422,913.4454001352424,914.6970321901608,10000,907.4653173759114,866.5973839815706,1091.9691229937598,906.7569349717814,913.3078889601165,914.539178753621
20,10000,10000,0,2560000,2292652.451703671,10000,942.0282389759902,885.3375659673475,1116.6105870506726,940.1824324741028,961.9589924725005,963.2087107282132,10000,941.913834185485,885.2248080074787,1116.5056700119749,940.0712100032251,961.8338334723376,963.0862816103036
50,10000,10000,0,2560000,2039746.6824051826,10000,1088.5269051489188,946.3892419589683,1255.0578079535626,1088.488237495767,1110.956097242888,1118.2612959929975,10000,1088.3455795438495,946.2561409454793,1254.9315299838781,1088.3499365008902,1110.6094212183962,1117.9998524481198
