request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,10000,10000,0,2560000,2534813.9955132604,10000,847.7567451424896,845.1000787317753,1009.936036542058,846.9551904127002,854.0159135125577,855.4012573324144,10000,847.6156175229698,844.9658416211605,1009.7959488630295,846.8087408691645,853.874793741852,855.2426325157285
5,10000,10000,0,2560000,2025750.9345877669,10000,878.7089533092454,858.5439119488001,1263.7288998812437,878.0152462422848,884.1671940870583,885.8311477676034,10000,878.5705046594143,858.4068790078163,1263.596871867776,877.8782458975911,884.0362478978932,885.6812928430736
10,10000,10000,0,2560000,2328301.2196503417,10000,908.5250160718336,868.6047773808241,1099.514091387391,907.6956659555435,915.3142777271569,917.5295081734657,10000,908.3853865429759,868.4631567448378,1099.3761830031872,907.5620966032147,915.1349818333983,917.3483858816326
20,10000,10000,0,2560000,2286662.869907804,10000,944.5609051151201,888.1074283272028,1119.5353865623474,941.7312610894442,963.0364218726754,966.0169700905681,10000,944.4317927278578,887.960460036993,1119.412811473012,941.6043441742659,962.9039573483169,965.8793074078858
50,10000,10000,0,2560000,1964964.8147810262,10000,1109.4943627173081,945.7662981003523,1302.8223104774952,1107.862813398242,1142.3025800846517,1163.1033495627344,10000,1109.1270046560094,945.6170815974474,1302.561054006219,1107.5618891045451,1141.550286207348,1162.129501439631
