request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,10000,10000,0,2560000,2184555.6326060966,10000,844.3591308127856,842.2417610418051,1171.863037860021,843.7733055325225,848.6271900241263,850.2290163305588,10000,844.2286791004706,842.1157570555806,1171.7155268415809,843.6439379584044,848.4964601229876,850.0972232618369
5,10000,10000,0,2560000,2515590.030517617,10000,879.8125620152102,856.3712208997458,1017.653897870332,879.60809643846,884.4066672143526,885.7711822562851,10000,879.6833620232297,856.2394508626312,1017.5481508485973,879.4790104730055,884.2785333748907,885.642041452229
10,10000,10000,0,2560000,2412232.0716478624,10000,907.1553869484924,864.8932611104101,1061.2577579449862,906.6877808654681,912.6361067406833,914.3183472543024,10000,907.0384120583069,864.748498192057,1060.9160750173032,906.5705800894648,912.5094331568107,914.1908313403837
20,10000,10000,0,2560000,2369543.7703350675,10000,927.4809284204384,879.8379001673311,1080.3767510224134,926.7893030773848,933.9221715810709,935.8231726917438,10000,927.3746454498963,879.7283601015806,1080.262971809134,926.6843120567501,933.810934133362,935.711178064812
50,10000,10000,0,2560000,2070989.3300625733,10000,1078.8424299572362,930.0930530298501,1236.1241860780865,1075.7483874913305,1098.4000552562065,1110.1737116416916,10000,1078.660710508912,929.9637940712273,1234.472154174,1075.580338947475,1098.1630897615105,1109.9463175050914
