request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,500,500,0,127992,45496.37084979829,500,2800.4642521259957,2786.3303490012186,2813.235377005185,2800.330780002696,2807.2860294108978,2809.9868111072283,500,2800.078067333758,2785.7856519985944,2812.7037630038103,2799.9568535014987,2806.7485868486983,2809.455342370493
5,500,500,0,127942,43861.438868497244,500,2901.7377269397257,2614.710791996913,2916.9585700001335,2903.8981574994978,2910.8803931558214,2913.22578645646,500,2901.289543131687,2614.592750003794,2916.420117006055,2903.47153449693,2910.4207768978085,2913.016286829661
10,500,500,0,126350,38290.96947241,500,2973.610433499766,2188.828044992988,3299.733638006728,3016.5263709932333,3031.1022592970403,3036.339115811861,500,2973.362938329606,2188.6956399976043,3299.1532849991927,3016.4066115030437,3030.9834470994247,3036.219276253105
20,500,500,0,127863,37553.5981441225,500,3193.6257900799974,2337.678597003105,3404.813554996508,3212.5149899948156,3222.104139791918,3227.858692767186,500,3193.461316619912,2337.546319991816,3403.874719995656,3212.4031464991276,3221.98018365234,3227.665161076002
50,500,500,0,127819,30000.11097922131,500,3416.535218600533,2771.1519000004046,4260.617571999319,3327.738491992932,3997.556596000504,4098.373311631731,500,3405.318667612679,2771.0440829978324,4254.663642990636,3309.777688496979,3994.6479050908238,4096.667225234996
