request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,10000,10000,0,2474000,2592885.316396042,10000,817.0147214595694,421.5887950267643,954.1494119912386,844.8101885151118,849.5734647964127,851.0464691836387,10000,816.884211741318,421.4605300221592,954.0049359202385,844.6798514341936,849.4427221594378,850.9109369246289
5,10000,10000,0,2474000,1965571.3572106666,10000,847.1922508979217,441.7404991108924,1258.667099988088,875.1556950155646,880.1899036043324,882.4673914513551,10000,847.0592068244471,441.6424329392612,1258.5251640994102,875.0219485955313,880.0576325040311,882.3136160918511
10,10000,10000,0,2474000,2273946.9769996284,10000,876.7125106566352,456.8308759480715,1087.9761159885675,906.5182914491743,911.6559298126958,913.6213206453249,10000,876.560048282519,456.70021208934486,1087.5976420938969,906.378792016767,911.5155846695416,913.4982305183075
20,10000,10000,0,2474000,2237088.920920612,10000,907.3449995745439,466.7956398334354,1105.9015030041337,936.4811170380563,943.0236082756892,946.332548186183,10000,907.2330603693147,466.69014380313456,1105.794952949509,936.3729464821517,942.9137969040312,946.2130843033083
50,10000,10000,0,2451768,1934257.7934890694,10000,1034.6575085727497,477.6966238860041,1267.549759009853,1072.714941459708,1098.997318209149,1118.8793094968423,10000,1034.3681610001017,477.5568298064172,1236.6353531833738,1072.5014799972996,1098.7187539460137,1118.2134536304513
