request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,10000,10000,0,2560000,798933.8367194277,10000,2802.921993666142,2759.034113958478,3204.2703442275524,2802.6587180793285,2809.140562824905,2813.168606143445,10000,2802.780549167842,2758.8971611112356,3204.1132375597954,2802.5219682604074,2809.000309742987,2813.034755513072
5,10000,10000,0,2559996,700994.9126527571,10000,2896.0017311414704,2815.174501389265,3651.9466172903776,2894.7172155603766,2904.839209932834,2906.881095021963,10000,2895.862111714296,2815.0305412709713,3651.13446675241,2894.5773486047983,2904.700796213001,2906.7497863434255
10,10000,10000,0,2560000,798648.6336397924,10000,3019.972884477116,2855.6538689881563,3205.4146118462086,3020.2096179127693,3026.9619905389845,3030.541504379362,10000,3019.772710264474,2855.5055502802134,3205.195674672723,3020.0516059994698,3026.5316281467676,3030.279600098729
20,10000,10000,0,2560000,756238.5070301865,10000,3212.781291743368,2955.415679141879,3385.1754125207663,3213.20709399879,3223.054481483996,3227.5563793815672,10000,3212.6544526033103,2955.2735704928637,3384.7678396850824,3213.0842357873917,3222.9095997288823,3227.444347962737
50,10000,10000,0,2559963,545112.207385421,10000,3822.38547241725,2991.404451429844,4696.212936192751,3843.082256615162,4239.515691529959,4335.454651396722,10000,3807.526509347744,2991.2171829491854,4688.225667923689,3822.9429833590984,4233.246098365635,4323.856653589755
