request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,10000,10000,0,2560000,867161.5579629745,10000,2801.9020645046608,2758.063118904829,2952.1603863686323,2801.7125064507127,2807.9946709796786,2812.1313808858395,10000,2801.771700404398,2757.9364106059074,2952.0026836544275,2801.581520587206,2807.8647749498487,2812.0040524564683
5,10000,10000,0,2560000,837531.4008842376,10000,2895.8412880202754,2813.51200863719,3056.6018149256706,2894.7832388803363,2905.306140705943,2906.6228298842907,10000,2895.712144101225,2813.37165646255,3056.472247466445,2894.652171060443,2905.1782176829875,2906.4935983531177
10,10000,10000,0,2560000,786558.0438982097,10000,3020.10665021576,2854.261888191104,3254.6866945922375,3020.3339466825128,3027.6830727234483,3031.839565113187,10000,3019.884704697877,2854.1477397084236,3254.4961478561163,3020.15851251781,3027.2196118719876,3031.6861741803586
20,10000,10000,0,2560000,753602.1235625551,10000,3213.746505941451,2956.4648158848286,3397.01802842319,3213.2858326658607,3227.400995977223,3261.009112857282,10000,3213.5422495994717,2956.325512379408,3396.8573678284883,3213.120657019317,3227.205169200897,3259.8653258010745
50,10000,10000,0,2559965,227087.88490335605,10000,3947.592122183368,2962.189009413123,11273.014415055513,3932.020654901862,4397.083855513483,4543.847664184868,10000,3928.35064628534,2961.996803060174,11254.534021019936,3905.176210217178,4389.1223340295255,4522.058906964959
