request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,500,500,0,127990,45608.052973044345,500,2793.3339176513255,2778.439035639167,2806.3026517629623,2793.1657480075955,2799.8551192693412,2804.4861177913845,500,2793.1971730664372,2778.251964598894,2806.174822151661,2793.0236058309674,2799.7124715708196,2804.3546146526933
5,500,500,0,127966,43895.4484651784,500,2900.706764895469,2780.2764326334,2915.2453038841486,2902.206391096115,2908.616535831243,2913.2164606265724,500,2900.5750808529556,2780.147060751915,2915.1146672666073,2902.0765591412783,2908.478848915547,2913.087454866618
10,500,500,0,126350,41715.21277092445,500,2966.3684302680194,2175.841346383095,3028.8710426539183,3003.6864299327135,3021.9489954411983,3026.5614462271333,500,2966.2445094510913,2175.7110077887774,3028.746619820595,3003.5599721595645,3021.836656332016,3026.4379637129605
20,500,500,0,127889,38294.12581104402,500,3185.19563774392,2331.5491061657667,3339.6505936980247,3203.7500105798244,3213.72302249074,3219.5722434855998,500,3185.0650284700096,2331.433141604066,3339.0221297740936,3203.6321004852653,3213.618480041623,3219.4666600227356
50,500,500,0,127864,30223.86525339716,500,3441.0718426145613,2626.1770743876696,4230.564123019576,3360.3434124961495,3987.208204716444,4071.1260413005944,500,3437.9130739197135,2625.743994489312,4222.377983853221,3353.9527067914605,3978.254305478186,4070.64249176532
