request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,500,500,0,122075,138504.3710601969,500,809.6857629455626,536.8423275649548,881.3801258802414,848.0172893032432,853.3856091089547,854.1371368803084,500,809.5480140857399,536.7086920887232,881.201846525073,847.8838205337524,853.2522950321436,854.0063663944602
5,500,500,0,122075,137946.1807661989,500,838.3940488547087,558.6511362344027,884.9465735256672,877.1088421344757,882.1270106360316,883.1192067079246,500,838.258084949106,558.5173517465591,884.8117087036371,876.9759126007557,881.9222793914378,882.9858182184398
10,500,500,0,122075,133662.77101448926,500,864.5635220222175,576.7470225691795,913.3059196174145,906.6907521337271,910.9202763065696,912.2963462397456,500,864.4037288054824,576.6081362962723,913.1750129163265,906.5662706270814,910.5422092601657,912.1681925468147
20,500,500,0,122075,125910.73272681345,500,896.8898109383881,600.6403639912605,969.5360939949751,938.3163815364242,944.0918027423322,946.4713915064931,500,896.7651454918087,600.5399730056524,969.4040976464748,938.2092980667949,943.9779746346176,946.3566200993955
50,500,500,0,120408,107467.88424162494,500,1010.3361914381385,621.915778145194,1120.4091422259808,1068.5570854693651,1089.349665120244,1102.8022366762161,500,1010.1755118630826,621.7951457947493,1120.3095484524965,1068.3061750605702,1089.0676972456276,1102.7025824971497
