request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,10000,10000,0,2560000,302566.7038993068,10000,2796.3682594014563,2754.6353979269043,8460.944205056876,2795.2926334692165,2801.5470511687454,2804.8289953859057,10000,2796.2328969731925,2754.505104967393,8444.595437962562,2795.1593975303695,2801.416588824941,2804.6986982238013
5,10000,10000,0,2560000,837211.3061922862,10000,2900.161807441013,2815.002089017071,3057.7704589813948,2899.0215469966643,2908.999690989731,2910.8266352815554,10000,2900.0285974523517,2814.891660003923,3057.6216150075197,2898.889497970231,2908.8674318918493,2910.684540872462
10,10000,10000,0,2560000,796984.8186244197,10000,3020.719696886977,2884.960412979126,3212.1063540689647,3021.908758499194,3029.1939584654756,3031.794099851977,10000,3020.5251330206056,2884.8481060704216,3211.755159078166,3021.7597219743766,3028.7313491280656,3031.605386901647
20,10000,10000,0,2560000,756319.2472576102,10000,3206.407977330091,2955.795007990673,3384.814030956477,3206.9344545016065,3216.612561867805,3220.86452299729,10000,3206.2769335703574,2955.666263937019,3384.4175490085036,3206.8051184760407,3216.503362118965,3220.7475290971342
50,10000,10000,0,2560000,572102.1820278732,10000,3829.7273514379167,2927.9484660364687,4474.725111038424,3848.4403085312806,4248.97290286608,4319.487012067111,10000,3820.7383628689213,2926.1622451012954,4468.033277080394,3836.8977194768377,4243.339224840747,4309.628399172799
