request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,10000,10000,0,2560000,114151.15108306744,10000,2807.122943823226,2758.428545668721,22426.40547826886,2802.5021525099874,2809.0211022645235,2812.9443344660103,10000,2806.9828524010254,2758.2983169704676,22410.75744666159,2802.367894910276,2808.8885674253106,2812.800184711814
5,10000,10000,0,2559992,815493.8777846714,10000,2896.157188235782,2814.024532213807,3139.1921751201153,2895.1104069128633,2905.20585346967,2907.1904963068664,10000,2896.0183402525263,2813.874961808324,3139.058729633689,2894.9671434238553,2905.0686079077423,2907.055980209261
10,10000,10000,0,2560000,792845.3965317457,10000,3019.9358399210496,2854.655420407653,3228.8766652345657,3020.169866271317,3027.0654781721532,3030.7547119259834,10000,3019.7289887661113,2854.5393105596304,3228.628408163786,3020.006616599858,3026.6059001907706,3030.4512586072087
20,10000,10000,0,2560000,754968.0776725202,10000,3212.7775599472225,2956.026354804635,3390.871847048402,3213.166135363281,3222.974943369627,3228.00411073491,10000,3212.6486460393294,2955.883903428912,3390.483969822526,3213.0445279181004,3222.8038987144823,3227.860396374017
50,10000,10000,0,2559891,574159.5534784811,10000,3798.549352488853,2789.357639849186,4458.501098677516,3805.6605383753777,4230.118752364069,4310.32760411501,10000,3788.1136395072563,2789.1904152929783,4457.292903214693,3792.0213574543595,4223.393419757485,4298.0258738435805
