request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,10000,10000,0,2560000,2043874.2583515875,10000,847.0362311586913,844.7835930273868,1252.523235976696,846.407231001649,851.5649665583624,853.2187807327136,10000,846.9055328768503,844.6699430351146,1252.3758630268276,846.2772214843426,851.4318980218377,853.0861079890747
5,10000,10000,0,2560000,2498696.4783212715,10000,876.6724453558098,857.7273450209759,1024.5342010166496,876.3673760113306,881.2475743121468,882.5802087283228,10000,876.5428202647017,857.5886129983701,1024.4230050011538,876.2361305125523,881.1130638234317,882.449602506822
10,10000,10000,0,2560000,2391735.987137669,10000,907.4430455949798,866.957874968648,1070.3522519906983,906.6834979748819,913.3180256932974,914.90517783619,10000,907.3208813524164,866.8261909624562,1070.0068880105391,906.5664334921166,913.165375389508,914.7510174440686
20,10000,10000,0,2560000,2371359.6137957745,10000,941.4372578804148,884.7734230221249,1079.5494639896788,940.0883009948302,948.7111902737523,962.5651454401668,10000,941.3272607293853,884.6606040024199,1079.4431049725972,939.9813894706313,948.5789130587362,962.4431155255297
50,10000,10000,0,2560000,2063883.4887963613,10000,1088.6791016161326,946.9154740218073,1240.3800960164517,1086.6991439834237,1109.6199267776683,1119.7596385184443,10000,1088.4777352825506,946.7757990350947,1236.2410240457393,1086.5468405245338,1109.286455003894,1119.4349494413473
