request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,500,500,0,122075,136057.77270506494,500,807.8207300081849,536.8480235338211,897.2291518002748,845.6974057480693,852.2831356152892,853.1717418693006,500,807.6912405341864,536.7309208959341,897.0345295965672,845.5763151869178,852.1432962268591,853.0546979978681
5,500,500,0,122075,137972.5813021679,500,837.5557682998478,557.8093193471432,884.7772423177958,875.9610643610358,881.2599619850516,883.2040778547525,500,837.4456577822566,557.7107071876526,884.6662994474173,875.8511655032635,881.1513271182775,883.0923611484468
10,500,500,0,122075,94130.61867813005,500,866.8074731752276,577.6744913309813,1296.868136152625,905.8331614360213,910.3076339699328,914.0874697081745,500,866.6529241017997,577.557822689414,1295.8624307066202,905.6852227076888,910.1810711435974,913.8840615190566
20,500,500,0,122075,125410.67943791392,500,898.7743408158422,603.697782382369,973.4019506722689,939.645703881979,946.7459502629936,963.5732268542051,500,898.6582794822752,603.5985182970762,973.2739422470331,939.5372271537781,946.6348053887486,963.4521866589785
50,500,500,0,120330,105494.85567764674,500,1017.4983053989708,619.1150210797787,1140.624338760972,1073.5527081415057,1104.1611026972532,1123.354510832578,500,1017.276550039649,619.0028805285692,1140.271944925189,1073.4116714447737,1103.1745934858918,1122.7700340561569
