request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,500,500,0,128000,23774.347409467737,500,5369.007076520473,5319.83432918787,5383.954301476479,5369.339333847165,5378.879809286445,5380.645483136177,500,5368.8683814145625,5319.643648341298,5383.823474869132,5369.188521057367,5378.747326508164,5380.516148041934
5,500,500,0,128000,22262.347090482144,500,5719.009941209108,5388.473890721798,5749.61837939918,5730.529214255512,5742.451800778508,5746.233450192958,500,5718.863369461149,5388.286070898175,5749.485934153199,5730.399600230157,5742.3197174444795,5746.10141010955
10,500,500,0,128000,20961.57172301194,500,6056.289528697729,5623.4429236501455,6106.412328779697,6082.828397862613,6097.418585419655,6103.530103489757,500,6056.1601149477065,5623.3124155551195,6106.2792260199785,6082.690689712763,6097.286154516041,6103.3970958553255
20,500,500,0,127989,20466.72141112494,500,6101.581861324608,5824.518712237477,6253.517474979162,6122.330685146153,6124.7423857450485,6125.863831080496,500,6101.452765557915,5824.354397132993,6253.38794477284,6122.212034650147,6124.610060732812,6125.735110715032
50,500,500,0,128000,19117.977293564603,500,6200.762200456113,5971.1785688996315,6695.268962532282,6165.561784058809,6427.7551064267755,6570.923396423459,500,6198.926006849855,5971.00342810154,6692.431315779686,6163.257513195276,6424.49790937826,6569.142492860556
