request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,10000,10000,0,2560000,2136156.9714664733,10000,844.8521074796561,841.9469080399722,1198.4138030093163,844.0266414545476,850.4113473929465,851.7558586900122,10000,844.7172048320296,841.8214779812843,1198.2504040934145,843.8919360050932,850.2725475351326,851.6179669601843
5,10000,10000,0,2560000,2497289.6211548024,10000,880.0606825518189,857.3184648994356,1025.111376075074,879.752627457492,885.0483561283909,886.4415111509152,10000,879.9275451510679,857.164922868833,1024.9981130473316,879.6196499606594,884.9176294985227,886.2956849858165
10,10000,10000,0,2560000,2350224.9771037446,10000,907.779206985631,864.4774758722633,1089.2574221361428,907.3370159603655,913.5749434470199,914.7593689430505,10000,907.6590214044554,864.3342850264162,1089.0421189833432,907.2169954888523,913.4424752555788,914.6281887404621
20,10000,10000,0,2560000,2315845.6961477273,10000,927.9573558432749,879.8992729280144,1105.4277080111206,927.2874494781718,934.4721465720795,936.0464158048853,10000,927.8489736318821,879.7873458825052,1105.2941570524126,927.1814494859427,934.3576132785529,935.9323815139942
50,10000,10000,0,2560000,2054689.154000678,10000,1078.3636930465466,941.8767860624939,1245.9305559750646,1076.0291834594682,1099.1010469384491,1108.1608796911314,10000,1078.1889218478696,941.7480630800128,1245.7195459865034,1075.8761410834268,1098.8361703697592,1107.82397728879
