request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,10000,10000,0,2560000,2059175.1310111461,10000,847.7066290872172,845.3126512467861,1243.2162575423717,846.8680549412966,853.7041075527668,855.055524520576,10000,847.5704925956204,845.1827690005302,1243.0588714778423,846.7297721654177,853.5609544254839,854.9071398749948
5,10000,10000,0,2560000,1274180.053000861,10000,878.8216628607363,859.753804281354,2009.135203436017,877.994037233293,884.0311566367745,885.7245615124702,10000,878.6863594798372,859.5940507948399,2008.17677564919,877.8598345816135,883.886075951159,885.5753540620208
10,10000,10000,0,2560000,2324623.665265526,10000,908.4793557655066,869.9250221252441,1101.2535225600004,907.6174227520823,915.2794376946986,917.6801817491651,10000,908.3404262876138,869.7899710386992,1100.8626446127892,907.4841495603323,915.097267832607,917.472629006952
20,10000,10000,0,2560000,2285845.53157795,10000,944.0922828763723,886.8032656610012,1119.935693219304,941.5093529969454,962.9185521043837,965.629318933934,10000,943.965154794231,886.6618275642395,1119.8291908949614,941.3828067481518,962.7948658540845,965.5003335885704
50,10000,10000,0,2560000,1975882.799205309,10000,1109.1086496990174,940.9382697194815,1295.6234049052,1106.941713951528,1141.896581184119,1161.7244264483452,10000,1108.7760868962855,940.8069457858801,1295.4189907759428,1106.6851103678346,1141.0966193303464,1160.9010025486352
