request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,500,500,0,122075,139364.82074038737,500,808.636686898768,536.2086873501539,875.9384136646986,846.7692881822586,853.246883675456,854.1231790371239,500,808.5012481808662,536.0538493841887,875.7634237408638,846.6351218521595,853.1169155612588,853.998229727149
5,500,500,0,122075,137678.0109047486,500,838.9120144955814,558.5350729525089,886.6702765226364,877.5551952421665,882.9237372614443,884.9014132283628,500,838.7734923101962,558.4045201539993,886.5170944482088,877.4242801591754,882.7539188787341,884.7533596493304
10,500,500,0,122075,133329.84895750135,500,864.6507113724947,575.9251043200493,915.5864268541336,906.3727278262377,911.99453715235,914.073471929878,500,864.4634582810104,575.7633615285158,915.4051523655653,906.2189189717174,911.7381316609681,913.9096336998045
20,500,500,0,122075,126973.39253485839,500,895.2730321027339,592.2694392502308,961.4218976348639,936.33799161762,943.2335902005434,945.177066847682,500,895.1611937172711,592.1187698841095,961.3039586693048,936.2324429675937,943.1207781657577,945.0771728344262
50,500,500,0,120374,108009.01111889335,500,1006.936799775809,615.0469146668911,1114.4810859113932,1068.0543016642332,1095.3206839971244,1099.9765577539802,500,1006.7111580967903,614.9331759661436,1114.1413804143667,1067.8818235173821,1094.8869600892067,1099.8588493280113
