request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,10000,10000,0,2560000,2192621.857558345,10000,846.9305616427794,844.7897670557722,1167.5519840209745,846.3113119651098,851.6042659291998,852.8159549320117,10000,846.8004079259757,844.678147113882,1167.404889012687,846.1813455214724,851.475689272047,852.6801767083816
5,10000,10000,0,2560000,2482573.8853791067,10000,876.8919580709655,858.1639530602843,1031.1878389911726,876.4784744707868,881.7860235983972,883.1139163102489,10000,876.7602661650162,858.0267680808902,1031.0794740216807,876.3474375009537,881.6549398878124,882.9809631302487
10,10000,10000,0,2560000,2365969.5048825615,10000,907.3974615562474,866.6740849148482,1082.0088740438223,906.6435765125789,913.4019907622132,915.2553191757761,10000,907.2759954095702,866.5448579704389,1081.6520580556244,906.5239775227383,913.2608006533701,915.0785852607805
20,10000,10000,0,2560000,2313640.178849981,10000,941.6701095963829,885.3895269567147,1106.481475988403,940.0485844817013,961.6828959959093,963.1002138368785,10000,941.5585642953404,885.2763629984111,1106.3763400306925,939.9406024604104,961.5660549781751,962.9843699373305
50,10000,10000,0,2560000,2019608.5338827819,10000,1087.386422145355,947.3849170608446,1267.5723819993436,1086.6847339784727,1109.3309724528808,1117.8849906602409,10000,1087.1976252946188,947.2498779650778,1265.6537879956886,1086.523273086641,1108.9711991138756,1117.0804935519118
