request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,10000,10000,0,2560000,2107887.5489463066,10000,844.1192869280698,841.6335270740092,1214.4860390108079,843.4286558767781,848.6119236564264,851.9945902470499,10000,843.9827418725938,841.5050089824945,1214.3393361475319,843.29721017275,848.4704015078023,851.8349204165861
5,10000,10000,0,2560000,2515188.3452692586,10000,879.2384915592847,855.7832830119878,1017.816421110183,878.893396933563,884.4686402124353,885.8113136328757,10000,879.1075519944076,855.6477499660105,1017.6618909463286,878.7636584602296,884.3384431675076,885.6787926424295
10,10000,10000,0,2560000,2430891.9700899823,10000,906.8948538327589,864.1471478622407,1053.111381130293,906.3897060696036,912.759916682262,915.2911422704346,10000,906.7728968467097,864.011901896447,1052.978081163019,906.2714710598812,912.6315079745837,915.1617113826796
20,10000,10000,0,2560000,2328550.114977527,10000,929.3858303559479,880.6098871864378,1099.3965659290552,928.5888900049031,936.9184957817197,939.4085016194731,10000,929.2549459396163,880.4767050314695,1099.2491580545902,928.4621046390384,936.7778261541389,939.2652452364564
50,10000,10000,0,2560000,1973920.5569379407,10000,1118.4632192529273,964.9567899759859,1296.9113630242646,1115.8519524615258,1150.6604996626265,1167.3414634051733,10000,1118.0140320499427,964.7645889781415,1296.533047221601,1115.468577016145,1149.8064231011085,1166.6758105601184
