request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,500,500,0,127987,45603.13982575196,500,2796.623860836029,2774.399023503065,2806.53920955956,2796.550019644201,2802.0342238247395,2805.2440543845296,500,2796.4884856678545,2774.232568219304,2806.4071647822857,2796.4123096317053,2801.905696373433,2805.1136280223727
5,500,500,0,127896,43883.257939237024,500,2900.4740652889013,2688.08981962502,2914.460001513362,2903.6700446158648,2908.8771373964846,2912.313118837774,500,2900.340671315789,2687.9573855549097,2914.3259171396494,2903.538092970848,2908.7468126788735,2912.1813099831343
10,500,500,0,126330,41679.623482566356,500,2964.02056504786,2174.2167342454195,3030.977476388216,3003.344443626702,3023.8361288793385,3028.3534408174455,500,2963.8911753445864,2174.083188176155,3030.8541748672724,3003.2038502395153,3023.7157217226923,3028.1378973461688
20,500,500,0,127928,38198.791362624266,500,3187.900579918176,2321.1107086390257,3349.006485193968,3205.797031521797,3215.6958425417542,3220.314420927316,500,3187.779853694141,2320.9710996598005,3348.3672086149454,3205.674549564719,3215.586460568011,3220.2082600817084
50,500,500,0,127795,33912.03516712119,500,3311.22522675246,2318.695893511176,3768.4261463582516,3261.6428807377815,3598.9673835225403,3642.9823802784085,500,3309.119735289365,2318.5525368899107,3764.1693502664566,3258.178601041436,3594.8370619677007,3641.6250206530094
