request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,10000,10000,0,2560000,799294.7857037252,10000,2795.7142413388237,2754.915065015666,3202.823346015066,2795.4905855003744,2801.9474552129395,2805.666055789916,10000,2795.582066021662,2754.75728395395,3202.676587039605,2795.360191492364,2801.821660279529,2805.525869447738
5,10000,10000,0,2560000,837733.9061668555,10000,2900.227393120283,2814.960435964167,3055.862943059765,2899.465667025652,2909.4104578485712,2911.1503034154885,10000,2900.0937971062726,2814.8491379106417,3055.750386090949,2899.3334525148384,2909.2726447677705,2911.0183971363585
10,10000,10000,0,2560000,798522.7309486527,10000,3019.065134427056,2857.8175499569625,3205.9200080111623,3019.277172978036,3026.7762104806025,3030.136040918296,10000,3018.8605261305697,2857.6847319491208,3205.6827429914847,3019.112082547508,3026.2169205991086,3029.9687276384793
20,10000,10000,0,2560000,757911.186422309,10000,3206.194612946105,2955.8268419932574,3377.7044670423493,3206.704982498195,3216.4845543156844,3221.0842652712017,10000,3206.0674929113593,2955.7095009367913,3377.5983069790527,3206.5713200718164,3216.371011955198,3220.9471511968877
50,10000,10000,0,2560000,580258.2060232905,10000,3826.389304873207,2998.3010590076447,4411.829033051617,3855.599480040837,4192.674409312895,4277.744601032464,10000,3815.754697968916,2998.140341951512,4405.339660006575,3841.4911949657835,4188.6598402343225,4268.955342815025
