request_rate,total_requests,successful_requests,failed_requests,total_output_tokens,effective_throughput_tps,latency_count,latency_mean_ms,latency_min_ms,latency_max_ms,latency_p50_ms,latency_p95_ms,latency_p99_ms,ttfb_count,ttfb_mean_ms,ttfb_min_ms,ttfb_max_ms,ttfb_p50_ms,ttfb_p95_ms,ttfb_p99_ms
1,10000,10000,0,2560000,261107.33373421791,10000,2797.869360781042,2755.647045909427,9804.397154948674,2795.2203195309266,2801.0683863714803,2804.7367878700607,10000,2797.7338084308317,2755.522802937776,9788.25965593569,2795.0912784435786,2800.938981573563,2804.6067319600843
5,10000,10000,0,2560000,837716.770888998,10000,2899.9456686384747,2814.7712029749528,3055.9254499385133,2898.760918993503,2908.7115418340545,2910.450424263254,10000,2899.816458885197,2814.626752049662,3055.793688981794,2898.631166492123,2908.5850112198386,2910.323153466452
10,10000,10000,0,2560000,798705.5932497851,10000,3020.747597149003,2857.8578890301287,3205.1860180217773,3021.3465264532715,3028.3058589790016,3031.4811426692177,10000,3020.5390072844807,2857.725122012198,3204.8365370137617,3021.1780085228384,3027.7059507614467,3031.2637458206154
20,10000,10000,0,2560000,756575.8912185404,10000,3205.969601855788,2956.2966489465907,3383.6658420041203,3206.5738745150156,3215.733898698818,3220.2709724300075,10000,3205.8210009671398,2956.135008018464,3383.523862925358,3206.4377550268546,3215.6132645497564,3220.153788329335
50,10000,10000,0,2560000,574717.958629856,10000,3805.5856856955447,2821.1980399210006,4454.358806018718,3818.5808124835603,4246.082609303994,4339.91038503591,10000,3794.808194230788,2821.089268894866,4449.195105000399,3804.887083475478,4240.679163968889,4329.823488470865
